K,interaction_mode,timing_mode,final_mean,final_variance,final_std,time_to_stability,stable,count_state_0,count_state_1,count_state_2,count_state_3,replicate,count_state_4,count_state_5,count_state_6,count_state_7,count_state_8,count_state_9
7,dyadic,synchronous,3.28,0.6016,0.7756287771866126,24.0,True,0,0,31,91,21,69.0,9.0,0.0,0.0,,
7,dyadic,synchronous,3.405,0.560975,0.7489826433235953,47.0,True,0,0,3,130,22,58.0,5.0,0.0,4.0,,
7,dyadic,synchronous,3.485,1.0297749999999999,1.0147783009110907,10.0,True,0,7,27,57,23,81.0,27.0,1.0,0.0,,
7,dyadic,synchronous,3.735,0.8147749999999999,0.9026488796868912,23.0,True,0,5,14,40,24,114.0,24.0,3.0,0.0,,
7,dyadic,synchronous,3.3,0.43,0.6557438524302001,43.0,True,0,0,20,102,25,76.0,2.0,0.0,0.0,,
7,dyadic,synchronous,3.705,0.577975,0.7602466704958333,21.0,True,0,0,14,54,26,109.0,23.0,0.0,0.0,,
7,dyadic,synchronous,3.65,0.9875,0.9937303457175896,33.0,True,1,0,19,79,27,50.0,51.0,0.0,0.0,,
7,dyadic,synchronous,3.145,0.3339749999999999,0.5779057016503644,29.0,True,0,0,14,150,28,29.0,7.0,0.0,0.0,,
7,dyadic,synchronous,3.395,0.9689749999999999,0.9843652777297663,32.0,True,0,0,26,108,29,34.0,26.0,5.0,1.0,,
9,dyadic,synchronous,4.41,1.5019,1.2255202976695245,22.0,True,0,2,7,43,0,53.0,45.0,50.0,0.0,0.0,0.0
9,dyadic,synchronous,5.01,0.7398999999999998,0.8601744009211154,74.0,True,0,0,2,0,1,61.0,68.0,69.0,0.0,0.0,0.0
9,dyadic,synchronous,4.315,0.7257750000000002,0.8519242924110101,27.0,True,0,1,0,31,2,85.0,69.0,14.0,0.0,0.0,0.0
9,dyadic,synchronous,4.855,1.023975,1.011916498531376,33.0,True,0,0,6,5,3,59.0,81.0,40.0,9.0,0.0,0.0
9,dyadic,synchronous,4.41,0.9018999999999999,0.9496841580230766,54.0,True,0,0,0,37,4,73.0,61.0,29.0,0.0,0.0,0.0
9,dyadic,synchronous,3.86,0.6004,0.7748548251124207,43.0,True,0,0,7,46,5,120.0,25.0,0.0,1.0,1.0,0.0
9,dyadic,synchronous,4.49,0.8399,0.9164605828948673,28.0,True,0,0,0,29,6,71.0,76.0,21.0,3.0,0.0,0.0
9,dyadic,synchronous,4.45,1.0075,1.0037429949942367,25.0,True,0,6,4,6,7,83.0,81.0,19.0,1.0,0.0,0.0
9,dyadic,synchronous,4.18,0.4176,0.6462197768561405,49.0,True,0,0,1,24,8,113.0,62.0,0.0,0.0,0.0,0.0
9,dyadic,synchronous,3.99,1.3799,1.1746914488494415,23.0,True,0,0,16,54,9,76.0,28.0,24.0,1.0,0.0,1.0
9,dyadic,synchronous,4.035,0.5837749999999999,0.7640516998214191,38.0,True,0,1,0,45,10,102.0,50.0,1.0,1.0,0.0,0.0
9,dyadic,synchronous,4.355,0.4689749999999999,0.684817493935428,34.0,True,0,0,0,14,11,109.0,71.0,4.0,2.0,0.0,0.0
9,dyadic,synchronous,4.775,0.814375,0.9024272823890023,33.0,True,0,0,0,18,12,48.0,102.0,25.0,7.0,0.0,0.0
9,dyadic,synchronous,4.38,0.6255999999999999,0.7909487973314075,55.0,True,0,0,0,23,13,94.0,67.0,16.0,0.0,0.0,0.0
9,dyadic,synchronous,4.41,0.8819,0.9390953093270139,59.0,True,1,0,1,31,14,66.0,85.0,14.0,2.0,0.0,0.0
9,dyadic,synchronous,4.55,2.0475,1.4309088021254184,11.0,True,0,6,5,36,15,50.0,52.0,33.0,16.0,2.0,0.0
9,dyadic,synchronous,4.475,0.819375,0.9051933495115836,32.0,True,0,0,1,26,16,78.0,67.0,28.0,0.0,0.0,0.0
9,dyadic,synchronous,4.635,0.6917749999999998,0.8317301244995277,39.0,True,0,0,8,5,17,54.0,120.0,11.0,2.0,0.0,0.0
9,dyadic,synchronous,4.62,0.6756,0.8219489035213807,36.0,True,0,0,0,16,18,72.0,84.0,28.0,0.0,0.0,0.0
9,dyadic,synchronous,4.6,0.9399999999999998,0.9695359714832658,38.0,True,0,0,4,24,19,54.0,84.0,34.0,0.0,0.0,0.0
9,dyadic,synchronous,4.725,0.7393749999999999,0.8598691760959919,25.0,True,0,0,1,1,20,74.0,114.0,4.0,2.0,0.0,4.0
9,dyadic,synchronous,4.185,0.5207750000000001,0.7216474208365191,50.0,True,0,0,4,25,21,101.0,70.0,0.0,0.0,0.0,0.0
9,dyadic,synchronous,4.585,1.472775,1.2135794164371774,27.0,True,1,0,16,8,22,64.0,68.0,36.0,7.0,0.0,0.0
9,dyadic,synchronous,3.76,0.4824000000000001,0.6945502141674136,51.0,True,0,0,4,58,23,126.0,8.0,2.0,2.0,0.0,0.0
9,dyadic,synchronous,3.97,1.1391,1.0672862783714592,17.0,True,0,4,15,42,24,67.0,66.0,6.0,0.0,0.0,0.0
9,dyadic,synchronous,4.445,0.8669749999999999,0.9311149230895185,42.0,True,0,0,0,31,25,80.0,58.0,31.0,0.0,0.0,0.0
9,dyadic,synchronous,4.47,0.25910000000000005,0.5090186637049766,50.0,True,0,0,0,1,26,104.0,95.0,0.0,0.0,0.0,0.0
9,dyadic,synchronous,4.825,0.834375,0.9134412953222555,42.0,True,0,0,0,3,27,81.0,78.0,24.0,14.0,0.0,0.0
9,dyadic,synchronous,4.42,0.8936,0.9453041838477179,30.0,True,0,0,0,28,28,83.0,77.0,3.0,8.0,0.0,1.0
9,dyadic,synchronous,4.62,0.8156,0.903105752390051,30.0,True,0,0,1,30,29,38.0,106.0,25.0,0.0,0.0,0.0
3,dyadic,asynchronous,1.23,0.2271,0.4765501022977542,44.0,True,5,144,51,0,0,,,,,,
3,dyadic,asynchronous,1.665,0.272775,0.5222786612527837,34.0,True,1,69,126,4,1,,,,,,
3,dyadic,asynchronous,1.78,0.3716,0.6095900261651268,31.0,True,10,34,146,10,2,,,,,,
3,dyadic,asynchronous,1.745,0.35997500000000004,0.5999791663049643,30.0,True,5,53,130,12,3,,,,,,
3,dyadic,asynchronous,1.55,0.3375000000000001,0.5809475019311126,30.0,True,1,96,95,8,4,,,,,,
3,dyadic,asynchronous,1.505,0.37997499999999995,0.6164211222857309,10.0,True,3,103,84,10,5,,,,,,
3,dyadic,asynchronous,1.575,0.364375,0.6036348233824818,13.0,True,3,88,100,9,6,,,,,,
3,dyadic,asynchronous,1.62,0.4856000000000001,0.6968500556073739,12.0,True,8,77,98,17,7,,,,,,
3,dyadic,asynchronous,1.525,0.27937499999999993,0.5285593627966493,25.0,True,0,98,99,3,8,,,,,,
3,dyadic,asynchronous,1.53,0.41910000000000003,0.6473793323855805,14.0,True,11,78,105,6,9,,,,,,
3,dyadic,asynchronous,1.6,0.3900000000000001,0.6244997998398399,10.0,True,7,74,111,8,10,,,,,,
3,dyadic,asynchronous,1.85,0.2275,0.47696960070847283,39.0,True,0,40,150,10,11,,,,,,
3,dyadic,asynchronous,1.865,0.166775,0.4083809496046553,31.0,True,2,26,169,3,12,,,,,,
3,dyadic,asynchronous,1.24,0.46240000000000003,0.68,25.0,True,24,108,64,4,13,,,,,,
3,dyadic,asynchronous,1.37,0.36310000000000003,0.6025777958073132,19.0,True,13,100,87,0,14,,,,,,
3,dyadic,asynchronous,1.5,0.41,0.6403124237432849,15.0,True,4,104,80,12,15,,,,,,
3,dyadic,asynchronous,1.46,0.30839999999999995,0.5553377350765928,16.0,True,6,96,98,0,16,,,,,,
3,dyadic,asynchronous,1.4,0.47000000000000014,0.6855654600401045,17.0,True,17,92,85,6,17,,,,,,
3,dyadic,asynchronous,1.445,0.306975,0.5540532465386336,24.0,True,6,99,95,0,18,,,,,,
3,dyadic,asynchronous,1.58,0.37360000000000004,0.6112282715974451,38.0,True,0,97,90,13,19,,,,,,
3,dyadic,asynchronous,1.51,0.3998999999999999,0.632376470150495,16.0,True,9,86,99,6,20,,,,,,
3,dyadic,asynchronous,1.56,0.6164000000000001,0.7851114570556209,10.0,True,15,80,83,22,21,,,,,,
3,dyadic,asynchronous,1.365,0.38177500000000003,0.6178794380783358,14.0,True,6,124,61,9,22,,,,,,
3,dyadic,asynchronous,1.595,0.310975,0.5576513247540976,33.0,True,3,79,114,4,23,,,,,,
3,dyadic,asynchronous,1.6,0.26000000000000006,0.5099019513592785,21.0,True,0,82,116,2,24,,,,,,
3,dyadic,asynchronous,1.85,0.3975,0.6304760106459246,51.0,True,1,54,119,26,25,,,,,,
3,dyadic,asynchronous,1.445,0.5769749999999999,0.7595887044973746,12.0,True,9,117,50,24,26,,,,,,
3,dyadic,asynchronous,1.5,0.51,0.714142842854285,19.0,True,19,69,105,7,27,,,,,,
3,dyadic,asynchronous,1.55,0.3975,0.6304760106459246,13.0,True,2,99,86,13,28,,,,,,
3,dyadic,asynchronous,1.4,0.48000000000000015,0.692820323027551,24.0,True,22,78,98,2,29,,,,,,
5,dyadic,asynchronous,2.71,0.3159,0.5620498198558559,26.0,True,0,0,69,120,0,11.0,0.0,,,,
5,dyadic,asynchronous,2.655,0.49597499999999994,0.7042549254353851,51.0,True,0,0,96,77,1,27.0,0.0,,,,
5,dyadic,asynchronous,2.705,0.377975,0.6147967143698801,32.0,True,0,0,76,107,2,17.0,0.0,,,,
5,dyadic,asynchronous,2.555,0.3869749999999999,0.6220731468243906,30.0,True,0,3,94,92,3,11.0,0.0,,,,
5,dyadic,asynchronous,2.455,0.437975,0.6617967966075388,43.0,True,0,18,74,107,4,1.0,0.0,,,,
5,dyadic,asynchronous,2.55,0.3575,0.5979130371550699,50.0,True,0,0,101,88,5,11.0,0.0,,,,
5,dyadic,asynchronous,2.54,0.7084,0.8416650165000326,31.0,True,0,16,90,64,6,30.0,0.0,,,,
5,dyadic,asynchronous,2.485,1.0497750000000001,1.0245852819555823,13.0,True,3,32,66,66,7,30.0,3.0,,,,
5,dyadic,asynchronous,2.57,0.5051000000000001,0.7107038764492566,23.0,True,0,10,82,92,8,16.0,0.0,,,,
5,dyadic,asynchronous,2.285,0.5237749999999999,0.7237230133137953,14.0,True,0,15,129,41,9,14.0,1.0,,,,
5,dyadic,asynchronous,2.475,0.39937499999999987,0.6319612329882268,18.0,True,0,2,114,71,10,13.0,0.0,,,,
5,dyadic,asynchronous,2.735,0.4847749999999999,0.6962578545337926,46.0,True,1,0,76,97,11,26.0,0.0,,,,
5,dyadic,asynchronous,2.005,0.494975,0.7035445970228185,35.0,True,1,46,104,49,12,0.0,0.0,,,,
5,dyadic,asynchronous,2.73,0.2970999999999999,0.5450688029964657,30.0,True,0,5,49,141,13,5.0,0.0,,,,
5,dyadic,asynchronous,2.56,0.3464,0.5885575587824864,20.0,True,0,3,89,101,14,7.0,0.0,,,,
5,dyadic,asynchronous,2.285,0.6037749999999998,0.7770296004657736,13.0,True,3,29,78,88,15,2.0,0.0,,,,
5,dyadic,asynchronous,2.74,0.6123999999999999,0.782559901860554,16.0,True,0,9,66,94,16,30.0,1.0,,,,
5,dyadic,asynchronous,2.68,0.5576000000000001,0.7467261881037789,31.0,True,0,0,92,86,17,16.0,6.0,,,,
5,dyadic,asynchronous,2.415,0.772775,0.8790762196760871,16.0,True,3,24,79,76,18,17.0,1.0,,,,
5,dyadic,asynchronous,2.705,0.6779750000000001,0.8233923730518762,16.0,True,1,11,63,100,19,21.0,4.0,,,,
5,dyadic,asynchronous,2.405,0.6309749999999998,0.7943393481378094,13.0,True,0,25,83,78,20,14.0,0.0,,,,
5,dyadic,asynchronous,2.48,0.41960000000000003,0.647765389628066,24.0,True,0,16,73,110,21,1.0,0.0,,,,
5,dyadic,asynchronous,2.705,0.7179750000000001,0.8473340545499161,12.0,True,0,14,66,87,22,31.0,2.0,,,,
5,dyadic,asynchronous,2.49,0.5198999999999999,0.7210409142344143,44.0,True,0,19,72,101,23,8.0,0.0,,,,
5,dyadic,asynchronous,2.49,0.40989999999999993,0.6402343321003646,29.0,True,0,10,88,96,24,6.0,0.0,,,,
5,dyadic,asynchronous,2.365,0.4317750000000001,0.6570958834142854,30.0,True,0,20,87,93,25,0.0,0.0,,,,
5,dyadic,asynchronous,2.615,0.9767750000000001,0.9883192803947518,10.0,True,0,20,85,53,26,36.0,6.0,,,,
5,dyadic,asynchronous,2.97,0.3691,0.6075360071633614,34.0,True,1,0,34,134,27,31.0,0.0,,,,
5,dyadic,asynchronous,2.525,0.5593749999999998,0.7479137650825795,28.0,True,0,17,75,94,28,14.0,0.0,,,,
5,dyadic,asynchronous,2.71,0.34590000000000004,0.5881326381013046,25.0,True,1,5,49,143,29,0.0,2.0,,,,
7,dyadic,asynchronous,3.555,0.8369749999999999,0.9148633777783434,39.0,True,0,0,26,68,0,77.0,27.0,2.0,0.0,,
7,dyadic,asynchronous,3.755,0.564975,0.751648188982053,36.0,True,0,0,13,48,1,114.0,25.0,0.0,0.0,,
7,dyadic,asynchronous,3.71,0.9058999999999999,0.9517877914745492,23.0,True,0,0,19,68,2,68.0,42.0,3.0,0.0,,
7,dyadic,asynchronous,3.87,0.24309999999999998,0.493051721424842,46.0,True,0,0,3,29,3,160.0,7.0,1.0,0.0,,
7,dyadic,asynchronous,3.58,0.6836000000000001,0.8268010643437755,35.0,True,1,0,11,85,4,76.0,27.0,0.0,0.0,,
7,dyadic,asynchronous,3.415,0.512775,0.7160830957368006,24.0,True,0,0,23,75,5,98.0,4.0,0.0,0.0,,
7,dyadic,asynchronous,3.69,0.28389999999999993,0.5328226721902888,53.0,True,0,0,7,48,6,145.0,0.0,0.0,0.0,,
7,dyadic,asynchronous,3.23,0.5871,0.7662245101796209,44.0,True,0,1,25,111,7,56.0,4.0,3.0,0.0,,
7,dyadic,asynchronous,3.555,0.5369749999999999,0.7327857804297241,38.0,True,0,0,13,76,8,100.0,10.0,0.0,1.0,,
7,dyadic,asynchronous,3.345,0.34597500000000003,0.5881963957727045,28.0,True,0,2,2,125,9,67.0,4.0,0.0,0.0,,
7,dyadic,asynchronous,3.19,0.4739000000000001,0.6884039511798288,50.0,True,0,0,32,98,10,70.0,0.0,0.0,0.0,,
7,dyadic,asynchronous,3.315,0.845775,0.9196602633581599,33.0,True,1,9,10,105,11,57.0,17.0,1.0,0.0,,
7,dyadic,asynchronous,3.505,1.229975,1.1090423797132372,11.0,True,2,2,36,57,12,59.0,44.0,0.0,0.0,,
7,dyadic,asynchronous,3.665,0.242775,0.49272203116970525,51.0,True,0,0,0,69,13,129.0,2.0,0.0,0.0,,
7,dyadic,asynchronous,3.46,0.5084000000000001,0.7130217387990355,23.0,True,0,0,14,89,14,91.0,3.0,3.0,0.0,,
7,dyadic,asynchronous,4.045,0.7129749999999998,0.8443784696449809,59.0,True,1,0,0,52,15,87.0,55.0,5.0,0.0,,
7,dyadic,asynchronous,3.96,1.2684,1.126232658024087,19.0,True,0,5,3,70,16,59.0,45.0,16.0,2.0,,
7,dyadic,asynchronous,3.825,0.744375,0.8627716963368699,24.0,True,0,0,17,38,17,112.0,31.0,0.0,2.0,,
7,dyadic,asynchronous,3.65,0.4775000000000001,0.6910137480542627,50.0,True,0,0,6,77,18,98.0,19.0,0.0,0.0,,
7,dyadic,asynchronous,3.255,0.4199750000000001,0.6480547816350097,31.0,True,0,4,11,115,19,70.0,0.0,0.0,0.0,,
7,dyadic,asynchronous,3.495,0.509975,0.7141253391387257,42.0,True,0,0,17,75,20,101.0,6.0,1.0,0.0,,
7,dyadic,asynchronous,3.625,0.414375,0.6437196594791866,22.0,True,1,0,1,80,21,107.0,11.0,0.0,0.0,,
7,dyadic,asynchronous,3.525,0.639375,0.7996092795859738,41.0,True,0,0,15,86,22,80.0,18.0,0.0,1.0,,
7,dyadic,asynchronous,3.41,0.3818999999999999,0.6179805822192149,39.0,True,0,0,14,90,23,96.0,0.0,0.0,0.0,,
7,dyadic,asynchronous,3.645,0.878975,0.9375366659496577,39.0,True,0,0,18,82,24,53.0,47.0,0.0,0.0,,
7,dyadic,asynchronous,3.555,1.056975,1.0280928946354995,14.0,True,0,0,36,62,25,57.0,45.0,0.0,0.0,,
7,dyadic,asynchronous,3.38,0.4156,0.6446704584514479,25.0,True,0,0,15,97,26,85.0,3.0,0.0,0.0,,
